Title,Format,product_id,ISSN print,ISSN electronic,Imprint,Primary Language,Vols Qty,Scheduled Vol Nos,Single Issues per volume,Open Access,Comment
3 Biotech,E C,13205,,2190-5738,Springer,English,1,9,12,Hybrid (Open Choice),
3D Research,E C,13319,,2092-6731,"3D Research Center, co-published with Springer",English,1,10,4,Hybrid (Open Choice),
4OR,PE OF,10288,1619-4500,1614-2411,Springer,English,1,17,4,Hybrid (Open Choice),
The AAPS Journal,E S C,12248,,1550-7416,Springer,English,1,21,6,Hybrid (Open Choice),
AAPS PharmSciTech,E OF S,12249,,1530-9932,Springer,English,1,20,8,Hybrid (Open Choice),
Abdominal Radiology,E OF S,261,,2366-0058,Springer,English,1,44,12,Hybrid (Open Choice),
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg,PE OF S,12188,0025-5858,1865-8784,Springer,English,1,89,2,Hybrid (Open Choice),
Academic Psychiatry,PE OF S,40596,1042-9670,1545-7230,Springer,English,1,43,6,Hybrid (Open Choice),
Academic Questions,PE OF,12129,0895-4852,1936-4709,Springer,English,1,32,4,Hybrid (Open Choice),
Accreditation and Quality Assurance,PE OF S,769,0949-1775,1432-0517,Springer,English,1,24,6,Hybrid (Open Choice),
Acoustics Australia,E OF S,40857,,1839-2571,Springer,English,1,47,3,Hybrid (Open Choice),Available in electronic format only. 
Acta Analytica,PE OF,12136,0353-5150,1874-6349,Springer,English,1,34,4,Hybrid (Open Choice),
Acta Applicandae Mathematicae,PE OF,10440,0167-8019,1572-9036,Springer,English,6,159-164,1,Hybrid (Open Choice),
Acta Biotheoretica,PE OF,10441,0001-5342,1572-8358,Springer,English,1,67,4,Hybrid (Open Choice),
Acta Diabetologica,E OF S,592,,1432-5233,Springer,English,1,56,12,Hybrid (Open Choice),
acta ethologica,PE OF S,10211,0873-9749,1437-9546,Springer,English,1,22,3,Hybrid (Open Choice),
Acta Geochimica,PE,11631,2096-0956,2365-7499,"Science Press, co-published with Springer",English,1,38,6,Hybrid (Open Choice),Chinese Library of Science. 
Acta Geodaetica et Geophysica,PE OF,40328,2213-5812,2213-5820,"Akadémiai Kiadó, co-published with Springer",English,1,54,4,Hybrid (Open Choice),Chinese Library of Science. 
Acta Geophysica,E OF,11600,,1895-7455,Springer,English,1,67,6,Hybrid (Open Choice),Erratum Journals List: Price amendment. Available in electronic format only. 
Acta Geotechnica,PE OF,11440,1861-1125,1861-1133,Springer,English,1,14,6,Hybrid (Open Choice),
Acta Informatica,PE OF,236,0001-5903,1432-0525,Springer,English,1,56,8,Hybrid (Open Choice),
