Title,product_id,ISSN print,ISSN electronic,Imprint,"PrimaryLanguage",Open Access,Comment,License,standard workflow July 18,"ProductionEditor"
3 Biotech,13205,,2190-5738,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Namperumal,Citra"
3D Research,13319,,2092-6731,"3D Research Center, co-publishedwith Springer",English,Hybrid (Open Choice),,CC BY,standard,"Sekar, Anu"
4OR,10288,1619-4500,1614-2411,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gaur, Sumintra"
The AAPS Journal,12248,,1550-7416,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Darnowsky,Robert"
AAPS PharmSciTech,12249,,1530-9932,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Darnowsky,Robert"
Abdominal Radiology,261,,2366-0058,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Devakumar,Radika"
"Abhandlungen aus demMathematischen Seminar derUniversität Hamburg",12188,0025-5858,1865-8784,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Wieland, Bernd"
Academic Psychiatry,40596,1042-9670,1545-7230,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Weaver, Janice"
Academic Questions,12129,0895-4852,1936-4709,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Duning,Renante"
"Accreditation and QualityAssurance",769,0949-1775,1432-0517,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Singh, Albert"
Acoustics Australia,40857,,1839-2571,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Rentmeester,Esther"
Acta Analytica,12136,0353-5150,1874-6349,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Mercullo,Kenneth"
Acta Applicandae Mathematicae,10440,0167-8019,1572-9036,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Franco, Frank"
Acta Biotheoretica,10441,0001-5342,1572-8358,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gunasekaran,Kavitha"
Acta Diabetologica,592,,1432-5233,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Singh, Albert"
acta ethologica,10211,0873-9749,1437-9546,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bajar, Mar-Jhon"
Acta Geochimica,11631,2096-0956,2365-7499,"Science Press, co-published withSpringer",English,Hybrid (Open Choice),,CC BY,standard,"Dayanand,Antony"
Acta Geodaetica et Geophysica,40328,2213-5812,2213-5820,"Akadémiai Kiadó, co-publishedwith Springer",English,Hybrid (Open Choice),,CC BY,standard,"Dixit, Amit"
Acta Geophysica,11600,,1895-7455,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Daum, Jutta"
Acta Geotechnica,11440,1861-1125,1861-1133,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ramanathan,Elangovan"
Acta Informatica,236,0001-5903,1432-0525,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Verma, Priya"
Acta Mathematica Vietnamica,40306,0251-4184,2315-4144,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Vloemans,Hermine"
Acta Mechanica,707,0001-5970,1619-6937,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Varghese,Beulah"
Acta Mechanica Sinica,10409,0567-7718,1614-3116,"The Chinese Society of Theoreticaland Applied Mechanics; Instituteof Mechanics, Chinese Academyof Sciences, co-published withSpringer",English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Dayanand,Antony"
Acta Mechanica Solida Sinica,10338,0894-9166,1860-2134,Springer,English,Hybrid (Open Choice),Take-over in 2018.,CC BY,standard,"Winter-Todorov,Christiane"
Acta Neurochirurgica,701,0001-6268,0942-0940,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Marabillo,Annalyn P."
Acta Neurologica Belgica,13760,,2240-2993,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bala, Senthil"
Acta Neuropathologica,401,0001-6322,1432-0533,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dharmalingam,Shivaraman"
Acta Parasitologica,11686,1230-2821,1896-1851,Springer,English,Hybrid (Open Choice),Take-over in 2019.,CC BY,non-standard,"Leader, Marion"
