Title,product_id,ISSN print,ISSN electronic,Imprint,"Primary Language",Open Access,Comment,License,Main discipline,"Production Editor"
3 Biotech,13205,,2190-5738,Springer,English,Hybrid (Open Choice),,CC BY,Chemistry,"Namperumal, Citra"
3D Research,13319,,2092-6731,"3D Research Center, co-published with Springer",English,Hybrid (Open Choice),,CC BY,Engineering,"Sekar, Anu"
4OR,10288,1619-4500,1614-2411,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Gaur, Sumintra"
The AAPS Journal,12248,,1550-7416,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Darnowsky, Robert"
AAPS PharmSciTech,12249,,1530-9932,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Darnowsky, Robert"
Abdominal Radiology,261,,2366-0058,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Devakumar, Radika"
"Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg",12188,0025-5858,1865-8784,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Wieland, Bernd"
Academic Psychiatry,40596,1042-9670,1545-7230,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Weaver, Janice"
Academic Questions,12129,0895-4852,1936-4709,Springer,English,Hybrid (Open Choice),,CC BY,Education,"Duning, Renante"
"Accreditation and Quality Assurance",769,0949-1775,1432-0517,Springer,English,Hybrid (Open Choice),,CC BY,Chemistry,"Singh, Albert"
Acoustics Australia,40857,,1839-2571,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Rentmeester, Esther"
Acta Analytica,12136,0353-5150,1874-6349,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Mercullo, Kenneth"
Acta Applicandae Mathematicae,10440,0167-8019,1572-9036,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Franco, Frank"
Acta Biotheoretica,10441,0001-5342,1572-8358,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Gunasekaran, Kavitha"
Acta Diabetologica,592,,1432-5233,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Singh, Albert"
acta ethologica,10211,0873-9749,1437-9546,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Bajar, Mar-Jhon"
Acta Geochimica,11631,2096-0956,2365-7499,"Science Press, co-published with Springer",English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Dayanand, Antony"
Acta Geodaetica et Geophysica,40328,2213-5812,2213-5820,"Akadémiai Kiadó, co-published with Springer",English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Dixit, Amit"
Acta Geophysica,11600,,1895-7455,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Daum, Jutta"
Acta Geotechnica,11440,1861-1125,1861-1133,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Ramanathan, Elangovan"
